Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Concrete compressive strength(MPa, megapascals) 
500,0,0,200,0,1125,613,3,26.0621928
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35455057
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
522,0,0,146,0,896,896,28,74.98740976
157,236,0,192,0,935.4,781.2,3,9.694722036
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.09810556
356,119,0,160,9.03,1061,657,28,58.99846132
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
540,0,0,162,2.5,1055,676,28,61.88736576
342,38,0,228,0,932,670,180,52.1243856
238,0,0,185,0,1118,789,28,17.54026944
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
250,0,95.69,187.42,5.53,956.86,861.17,56,38.32797084
193.5,290.2,0,185.7,0,998.2,704.3,7,17.20035777
528,0,0,185,6.86,920,720,28,56.83350668
446,24,79,162,11.64,967,712,56,55.25460664
251.81,0,99.94,146.14,12.35,1006,899.76,14,33.35684888
310,0,0,192,0,970,850,90,34.6806428
540,0,0,173,0,1125,613,7,52.61391356
295.71,0,95.64,171.54,8.87,955.14,859.2,28,39.94134468
387,20,94,157,11.61,938,845,56,61.45989064
254,0,0,198,0,968,863,180,27.62730332
167,75.4,167,164.03,7.91,1007.3,770.1,14,32.90179472
540,0,0,173,0,1125,613,3,41.63745564
325,0,0,184,0,1063,783,7,17.54026944
300,0,0,184,0,1075,795,28,26.84819544
469,117.2,0,137.8,32.2,852.1,840.5,28,66.89985628
190.68,0,125.4,162.14,7.77,1090,804.01,14,21.0634918
446,24,79,162,11.61,967,712,56,61.06688932
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196
250,0,0,182,0,1100,820,28,20.87043852
393,0,0,192,0,940,758,90,48.79421652
183.9,122.6,0,203.5,0,959.2,800,28,24.04616498
304,76,0,228,0,932,670,28,47.81378165
339,0,0,185,0,1069,754,7,21.16001844
173,116,0,192,0,946.8,856.8,3,6.940954892
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.59946448
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.31040416
166.8,250.2,0,203.5,0,975.6,692.6,28,33.94772981
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72434956
475,118.8,0,181.1,8.9,852.1,781.5,3,37.79707432
339,0,0,197,0,968,781,90,35.17017076
273,0,90,199,11,931,762,28,32.23989776
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.81086384
475,0,59,142,1.9,1098,641,28,57.226508
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
400,0,0,187,0,1025,745,7,30.14389072
525,0,0,189,0,1125,613,3,33.79811352
427.5,47.5,0,228,0,932,594,7,35.07640202
266,114,0,228,0,932,670,365,52.90831981
